external_id,name,status
,Equipment Yard,in_progress
22018,Lone Star,in_progress
24002,Equipment Yard,in_progress
23004,Colony Phase 12,in_progress
22017,NEX,in_progress
24003,Plano Arterial Renewal-2,in_progress
22015,Garland,in_progress
24007,Austin Lane,in_progress
20011,DART,in_progress
23002,Richardson,in_progress
23010,Bell,in_progress
23009,Little Elm,in_progress
10001,Job 10001,in_progress
26002,Job 26002,in_progress
25011,Job 25011,in_progress
25001,Job 25001,in_progress
25015,Job 25015,in_progress
25008,Job 25008,in_progress
26007,Job 26007,in_progress
24015,Job 24015,in_progress
24014,Job 24014,in_progress
